smiles,source_group,groundState_charge,molecular_weight,sa_score,reorg_eV,reorg_type,reorg_confidence,pareto_optimal,oxidation_potential_D3TaLES_abs_V,solv_oxidation_potential_D3TaLES_abs_V,reduction_potential_D3TaLES_abs_V,solv_reduction_potential_D3TaLES_abs_V,E_ox_vs_Fc_est_V,E_red_vs_Fc_est_V
CC1=C(C)N([O])c2ccccc2N1[O],csd,0.0,190.07422756,3.25,0.2374,hole,ok,True,1.094,1.094,7.051,7.051,0.474,-2.059
[O]N1N=C(C2CC2)N([O])c2ccccc21,csd,0.0,203.069476528,3.36,0.2944,hole,ok,False,1.32,1.32,7.455,7.455,0.7,-1.655
[O]N1C=CN([O])c2ccccc21,csd,0.0,162.042927432,3.47,0.3134,hole,ok,False,1.234,1.234,7.35,7.35,0.614,-1.76
CC1=C(C(=O)OC(C)(C)C)N([O])c2ccccc2N1[O],csd,0.0,276.111006992,3.09,0.3346,hole,ok,True,1.263,1.263,7.274,7.274,0.643,-1.836
CC(=O)OCC1=C(COC(C)=O)N([O])c2ccccc2N1[O],csd,0.0,306.085186168,3.28,0.3676,hole,ok,False,1.339,1.339,7.348,7.348,0.719,-1.762
