_id,smiles,source_group,groundState_charge,molecular_weight,sa_score,solv_oxidation_potential_D3TaLES_abs_V,solv_reduction_potential_D3TaLES_abs_V,hole_reorganization_energy,electron_reorganization_energy,E_ox_vs_Fc_est_V,E_red_vs_Fc_est_V
80NRMV,Cc1c[n+]([O-])cc[n+]1[O-],csd,0.0,126.042927432,4.21,1.346,6.827,0.2749,0.7967,0.726,-2.283
80YYJL,Cc1c[n+]([O-])c(C)c[n+]1[O-],csd,0.0,140.058577496,4.1,1.284,6.739,0.293,0.9365,0.664,-2.371
