_id,smiles,source_group,groundState_charge,molecular_weight,sa_score,solv_oxidation_potential,solv_reduction_potential,hole_reorganization_energy,electron_reorganization_energy
80WZKV,CC(=O)c1cc(C)c(O)c(CC2=C(C)C(=O)C(O)=C(C)C2=O)c1O,csd,0.0,330.11033829599995,2.97,1.476,7.936,0.4363,0.6499
80BGWA,C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(OC)cc1,csd,0.0,284.104858992,3.17,1.636,7.996,0.5662,0.9129
80KNAZ,C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccccc1,csd,0.0,254.094294308,3.18,,,,
80CSZQ,CC(C)N(c1ccc(C(Cl)=CC2=C(Cl)C(=O)C(Cl)=C(Cl)C2=O)cc1)C(C)C,csd,0.0,445.016989568,3.2,0.905,8.492,0.2252,3.233
80ARVI,CC1=CC(=O)C(C(C2=CC(=O)C(C)=CC2=O)(c2ccccc2)C(F)(F)F)=CC1=O,csd,0.0,400.09224362,3.23,2.257,8.576,1.261,0.74
05GFJZ,CC(C)=CCCC(C)C1=C(O)C(=O)C(C)=C(Nc2ccccc2)C1=O,csd,0.0,339.18344366,3.24,1.447,7.953,0.3449,0.826
05KUSN,CC(C)=CCCC(C)C1=C(O)C(=O)C(C)=C(NCc2ccccc2)C1=O,csd,0.0,353.199093724,3.24,1.276,7.828,0.2293,0.6469
05ORIE,COC1=CC(=O)C(C2COc3cc(O)ccc3C2)=CC1=O,csd,0.0,286.084123548,3.27,1.273,7.949,0.4866,0.6172
80CLNR,C=CC(C1=CC(=O)C(OC)=C(OC)C1=O)c1ccccc1,csd,0.0,284.104858992,3.33,1.407,8.08,0.8162,0.7263
80YZZV,COC1=CC(=O)C2=C(C1=O)C(c1cc(OC)c(OC)cc1OC)C(C)=C(C)C2,csd,0.0,384.157288488,3.34,0.658,7.919,0.5246,0.8058
